Accession	Source Database	Name	Tax ID	Tax Name	Length
A0A1E3PCD7	unreviewed	Uncharacterized protein	683960	Wickerhamomyces anomalus (strain ATCC 58044 / CBS 1984 / NCYC 433 / NRRL Y-366-8)	139
A0A1E3QIT2	unreviewed	Proteasome assembly chaperone 3	984486	Babjeviella inositovora NRRL Y-12698	124
A0A1E4RRF4	unreviewed	Proteasome assembly chaperone 3	984485	Hyphopichia burtonii NRRL Y-1933	143
A0A1E4RSD7	unreviewed	Uncharacterized protein	984485	Hyphopichia burtonii NRRL Y-1933	113
A0A1E4SFK7	unreviewed	Uncharacterized protein	984487	Suhomyces tanzawaensis NRRL Y-17324	146
A0A1E4SSZ8	unreviewed	Proteasome assembly chaperone 3	983967	[Candida] arabinofermentans NRRL YB-2248	159
A0A1E4T2X8	unreviewed	Proteasome assembly chaperone 3	983967	[Candida] arabinofermentans NRRL YB-2248	141
A0A1E4TPG2	unreviewed	Uncharacterized protein	669874	Pachysolen tannophilus NRRL Y-2460	99
A0A1E4TW80	unreviewed	Proteasome assembly chaperone 3	669874	Pachysolen tannophilus NRRL Y-2460	147
A0A1E5R3G7	unreviewed	Proteasome chaperone 3	56408	Hanseniaspora osmophila	151
A0A1G4IS29	unreviewed	LAFA_0B02828g1_1	1230904	Lachancea sp. 'fantastica'	180
A0A1G4ISI4	unreviewed	Proteasome assembly chaperone 3	1230904	Lachancea sp. 'fantastica'	126
A0A1G4IZI3	unreviewed	LADA_0C07294g1_1	1072105	Lachancea dasiensis	174
A0A1G4IZY6	unreviewed	LAME_0C03158g1_1	1266667	Lachancea meyersii CBS 8951	180
A0A1G4J7H1	unreviewed	Proteasome assembly chaperone 3	1072105	Lachancea dasiensis	185
A0A1G4JX44	unreviewed	Proteasome assembly chaperone 3	1266667	Lachancea meyersii CBS 8951	129
A0A1G4JZW7	unreviewed	Proteasome chaperone 3	1266666	Lachancea nothofagi CBS 11611	182
A0A1G4KG33	unreviewed	Proteasome chaperone 3	1230905	Lachancea mirantina	161
A0A1G4KMJ9	unreviewed	Proteasome assembly chaperone 3	1266666	Lachancea nothofagi CBS 11611	126
A0A1G4M758	unreviewed	Proteasome chaperone 3	4955	Lachancea fermentati	172
A0A1G4MHI2	unreviewed	Proteasome assembly chaperone 3	4955	Lachancea fermentati	133
A0A1L0BEU9	unreviewed	CIC11C00000004360	45354	[Candida] intermedia	115
A0A1L0BLH8	unreviewed	Proteasome assembly chaperone 4	45354	[Candida] intermedia	115
A0A1L0D2X3	unreviewed	Proteasome chaperone 3	45354	[Candida] intermedia	135
A0A1Q2ZVF3	unreviewed	Proteasome chaperone 3	4956	Zygosaccharomyces rouxii	157
A0A1Q3A357	unreviewed	Proteasome assembly chaperone 3	4956	Zygosaccharomyces rouxii	115
A0A1Q3A9P9	unreviewed	Proteasome chaperone 3	4956	Zygosaccharomyces rouxii	157
A0A1Q3AH30	unreviewed	Proteasome assembly chaperone 3	4956	Zygosaccharomyces rouxii	115
A0A1V2LB26	unreviewed	Proteasome chaperone 3	36022	Cyberlindnera fabianii	136
A0A1X7QZH7	unreviewed	Similar to Saccharomyces cerevisiae YLR021W IRC25 Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome	1789683	Kazachstania saulgeensis	186
A0A1X7R3G6	unreviewed	Similar to Saccharomyces cerevisiae YPL144W POC4 Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome	1789683	Kazachstania saulgeensis	154
A0A1Z8JHK7	unreviewed	Proteasome assembly chaperone 3	4909	Pichia kudriavzevii	168
A0A2H0ZQ19	unreviewed	Proteasome assembly chaperone 3	498019	Candida auris	138
A0A2H1A4M0	unreviewed	Uncharacterized protein	498019	Candida auris	111
A0A2P7YM17	unreviewed	Proteasome assembly chaperone 3	418784	[Candida] pseudohaemulonii	135
A0A2U9QZS6	unreviewed	Proteasome assembly chaperone 3	4909	Pichia kudriavzevii	168
A0A2V1AII3	unreviewed	Proteasome assembly chaperone 3	1231522	[Candida] duobushaemulonis	132
A0A2V1AM97	unreviewed	Proteasome assembly chaperone 3	45357	[Candida] haemuloni	111
A0A2V1AVZ2	unreviewed	Proteasome assembly chaperone 3	45357	[Candida] haemuloni	136
A0A367XWC4	unreviewed	Uncharacterized protein	5486	Candida viswanathii	114
A0A367YBS0	unreviewed	Proteasome chaperone 3	5486	Candida viswanathii	155
A0A367YE68	unreviewed	Proteasome chaperone 3	5486	Candida viswanathii	156
A0A367YIY9	unreviewed	Uncharacterized protein	5486	Candida viswanathii	114
A0A376B1R7	unreviewed	Proteasome chaperone 3	36035	Saccharomycodes ludwigii	153
A0A3F2Y6R4	unreviewed	DEBR0S4_12662g1_1	5007	Dekkera bruxellensis	160
A0A421JAU9	unreviewed	Proteasome chaperone 3	2028340	Meyerozyma sp. JA9	141
A0A421JSM2	unreviewed	Proteasome chaperone 3	2028339	Spathaspora sp. JA1	141
A0A448YQK2	unreviewed	Proteasome assembly chaperone 3	13370	Brettanomyces naardenensis	123
A0A4C2EBU3	unreviewed	Uncharacterized protein	42258	Zygosaccharomyces mellis	159
A0A4P6XNR2	unreviewed	Proteasome chaperone 3	2163413	Metschnikowia aff. pulcherrima	138
A0A4P6XTN3	unreviewed	Proteasome assembly chaperone 4	2163413	Metschnikowia aff. pulcherrima	115
A0A4P9ZBU3	unreviewed	Proteasome assembly chaperone 3	27322	Metschnikowia bicuspidata	139
A0A4P9ZGT9	unreviewed	Uncharacterized protein	27322	Metschnikowia bicuspidata	113
A0A4T0X2V5	unreviewed	Proteasome assembly chaperone 3	52247	[Candida] inconspicua	130
A0A4T0X8Q8	unreviewed	Proteasome assembly chaperone 3	52247	[Candida] inconspicua	163
A0A510NXC9	unreviewed	Uncharacterized protein	498019	Candida auris	138
A0A512UMH6	unreviewed	Proteasome assembly chaperone 3	2562755	Metschnikowia sp. JCM 33374	138
A0A642UNQ0	unreviewed	Proteasome assembly chaperone 3	5481	Diutina rugosa	126
A0A6A5Q0V7	unreviewed	POC4 isoform 1	4932	Saccharomyces cerevisiae	148
A0A6C1DVT7	unreviewed	Proteasome chaperone 3	27292	Saccharomyces pastorianus	179
A0A6C1E0H6	unreviewed	Proteasome chaperone 4	27292	Saccharomyces pastorianus	148
A0A6C1ECQ5	unreviewed	Proteasome chaperone 3	27292	Saccharomyces pastorianus	180
A0A6C1EG71	unreviewed	Proteasome chaperone 4	27292	Saccharomyces pastorianus	164
A0A6L0ZZJ3	unreviewed	IRC25 isoform 1	4932	Saccharomyces cerevisiae	179
A0A7D9H2P9	unreviewed	DEBR0S4_05424g1_1	5007	Dekkera bruxellensis	106
A0A7G3ZBQ6	unreviewed	Proteasome assembly chaperone 3	48254	Torulaspora globosa	133
A0A7G3ZJ43	unreviewed	Proteasome assembly chaperone 3	48254	Torulaspora globosa	159
A0A7H9AW77	unreviewed	Proteasome assembly chaperone 3	42260	Zygotorulaspora mrakii	156
A0A7H9AWJ9	unreviewed	Proteasome chaperone 3	42260	Zygotorulaspora mrakii	166
A0A7H9HUQ2	unreviewed	Proteasome assembly chaperone 3	2792677	Torulaspora sp. CBS 2947	166
A0A7H9HVZ2	unreviewed	Proteasome assembly chaperone 3	2792677	Torulaspora sp. CBS 2947	133
A0A7M5V3A0	unreviewed	Proteasome assembly chaperone 3	252671	Clytia hemisphaerica	142
A0A871REA7	unreviewed	Uncharacterized protein	5007	Dekkera bruxellensis	160
A0A875RVA7	unreviewed	Uncharacterized protein	13502	Eeniella nana	148
A0A875S1I3	unreviewed	Uncharacterized protein	13502	Eeniella nana	115
A0A890D0J5	unreviewed	Proteasome assembly chaperone 3	498019	Candida auris	111
A0A8B8UVK3	unreviewed	Irc25	27291	Saccharomyces paradoxus	180
A0A8B8V0Y1	unreviewed	Poc4	27291	Saccharomyces paradoxus	148
A0A8F2VX08	unreviewed	Proteasome assembly chaperone 3	498019	Candida auris	136
A0A8F3AGD3	unreviewed	Proteasome assembly chaperone 3	498019	Candida auris	150
A0A8H2VC22	unreviewed	Proteasome assembly chaperone 3	61262	Kazachstania barnettii	187
A0A8H2VDE5	unreviewed	Proteasome chaperone 4	61262	Kazachstania barnettii	154
A0A8H4D720	unreviewed	Proteasome assembly chaperone 3	1231523	[Candida] haemuloni var. vulneris	136
A0A8H4D7Z9	unreviewed	Uncharacterized protein	1231523	[Candida] haemuloni var. vulneris	111
A0A8H7GUZ1	unreviewed	Uncharacterized protein	2053757	Metschnikowia persimmonesis	115
A0A8H7LBW6	unreviewed	Proteasome assembly chaperone 3	2053757	Metschnikowia persimmonesis	138
A0A8H7ZDN2	unreviewed	Proteasome assembly chaperone 3	273372	Candida metapsilosis	150
A0A8J2T9Y0	unreviewed	Proteasome assembly chaperone 3	1333698	Zygosaccharomyces bailii (strain CLIB 213 / ATCC 58445 / CBS 680 / BCRC 21525 / NBRC 1098 / NCYC 1416 / NRRL Y-2227)	128
A0A8J2X669	unreviewed	Proteasome chaperone 3	1333698	Zygosaccharomyces bailii (strain CLIB 213 / ATCC 58445 / CBS 680 / BCRC 21525 / NBRC 1098 / NCYC 1416 / NRRL Y-2227)	158
A0A8J5UJ86	unreviewed	Uncharacterized protein	561895	[Candida] subhashii	105
A0A8J5UUT4	unreviewed	Uncharacterized protein	561895	[Candida] subhashii	150
A0A8X7NE92	unreviewed	Proteasome assembly chaperone 3	5480	Candida parapsilosis	155
A0A8X7NEW2	unreviewed	20S proteasome chaperone family protein	5480	Candida parapsilosis	117
A0A9P0QTK6	unreviewed	Uncharacterized protein	45579	[Candida] railenensis	133
A0A9P0VYB0	unreviewed	Proteasome chaperone 3	45579	[Candida] railenensis	144
A0A9P6WHN9	unreviewed	Uncharacterized protein	460514	[Candida] californica	165
A0A9P6WRD0	unreviewed	C2 domain-containing protein	460514	[Candida] californica	130
A0A9P7BBY1	unreviewed	Proteasome chaperone 3	34358	Kazachstania exigua	184
A0A9P7BBY3	unreviewed	Proteasome assembly chaperone 4	34358	Kazachstania exigua	156
A0A9P7VBD2	unreviewed	Uncharacterized protein	45513	Scheffersomyces spartinae	140
A0A9P8P7J2	unreviewed	Proteasome assembly chaperone 3	1378263	Ogataea philodendri	134
A0A9P8PX53	unreviewed	Proteasome assembly chaperone 3	1378264	Wickerhamomyces mucosus	135
A0A9P8PYK5	unreviewed	Proteasome assembly chaperone 3	599730	Wickerhamomyces pijperi	138
A0A9P8TCS5	unreviewed	Proteasome assembly chaperone 4	599730	Wickerhamomyces pijperi	139
A0A9W4TV74	unreviewed	Uncharacterized protein	1227364	Candida verbasci	145
A0A9W6SSY5	unreviewed	Unnamed protein product	5477	Candida boidinii	157
A0A9W6WF02	unreviewed	Unnamed protein product	5477	Candida boidinii	159
A0A9W6Z328	unreviewed	Unnamed protein product	43982	Ambrosiozyma monospora	74
A0A9W6Z3E0	unreviewed	Proteasome assembly chaperone 3	43982	Ambrosiozyma monospora	153
A0A9W7DJN6	unreviewed	Unnamed protein product	43982	Ambrosiozyma monospora	157
A0AA35IRT1	unreviewed	Proteasome chaperone 3	226126	Saccharomyces mikatae IFO 1815	179
A0AA35IXU4	unreviewed	Proteasome chaperone 4	226126	Saccharomyces mikatae IFO 1815	148
A0AA35JAC3	unreviewed	Proteasome chaperone 4	230603	Saccharomyces uvarum	148
A0AA35NJN1	unreviewed	Proteasome chaperone 3	230603	Saccharomyces uvarum	180
A0AA91PYA1	unreviewed	Proteasome chaperone	36911	Clavispora lusitaniae	135
A0AA91T1D5	unreviewed	Uncharacterized protein	36911	Clavispora lusitaniae	110
A3GHY9	unreviewed	Uncharacterized protein	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	145
A3LSI5	unreviewed	Uncharacterized protein	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	112
A5DCJ0	unreviewed	Proteasome assembly chaperone 3	294746	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324)	144
A5E1X3	unreviewed	Proteasome assembly chaperone 3	379508	Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239)	172
A6ZWB0	unreviewed	Conserved protein	307796	Saccharomyces cerevisiae (strain YJM789)	148
A7A0S6	unreviewed	Conserved protein	307796	Saccharomyces cerevisiae (strain YJM789)	179
A7TFL1	unreviewed	Proteasome chaperone 3	436907	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17)	165
A7TKP5	unreviewed	Uncharacterized protein	436907	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17)	147
B3LKT4	unreviewed	Proteasome chaperone 4	285006	Saccharomyces cerevisiae (strain RM11-1a)	148
B3LSZ4	unreviewed	Proteasome chaperone 3	285006	Saccharomyces cerevisiae (strain RM11-1a)	179
B9W9M9	unreviewed	Proteasome chaperone 3	573826	Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841)	162
B9WMG7	unreviewed	Uncharacterized protein	573826	Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841)	111
C4XYP9	unreviewed	Uncharacterized protein	306902	Clavispora lusitaniae (strain ATCC 42720)	110
C4Y950	unreviewed	Uncharacterized protein	306902	Clavispora lusitaniae (strain ATCC 42720)	135
C4YG83	unreviewed	Proteasome chaperone 3	294748	Candida albicans (strain WO-1)	164
C4YMI3	unreviewed	Uncharacterized protein	294748	Candida albicans (strain WO-1)	111
C5DCJ0	unreviewed	Proteasome chaperone 3	559295	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284)	173
C5DEY5	unreviewed	KLTH0D10780p	559295	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284)	128
C5DRR1	unreviewed	Proteasome chaperone 3	559307	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)	157
C5DXQ3	unreviewed	Proteasome assembly chaperone 3	559307	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)	115
C5M8D9	unreviewed	Uncharacterized protein	294747	Candida tropicalis (strain ATCC MYA-3404 / T1)	111
C5MBS8	unreviewed	Proteasome assembly chaperone 3	294747	Candida tropicalis (strain ATCC MYA-3404 / T1)	155
C7GJ95	unreviewed	Poc4p	574961	Saccharomyces cerevisiae (strain JAY291)	148
C7GXG7	unreviewed	Irc25p	574961	Saccharomyces cerevisiae (strain JAY291)	179
C8ZCZ3	unreviewed	Irc25p	643680	Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse)	179
C8ZIN5	unreviewed	Poc4p	643680	Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse)	148
F2QT44	unreviewed	Proteasome assembly chaperone 3	981350	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	135
G0VBA9	unreviewed	Proteasome assembly chaperone 3	1064592	Naumovozyma castellii (strain ATCC 76901 / BCRC 22586 / CBS 4309 / NBRC 1992 / NRRL Y-12630)	154
G0VE71	unreviewed	Proteasome assembly chaperone 3	1064592	Naumovozyma castellii (strain ATCC 76901 / BCRC 22586 / CBS 4309 / NBRC 1992 / NRRL Y-12630)	163
G0WB23	unreviewed	Proteasome assembly chaperone 4	1071378	Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639)	170
G0WG67	unreviewed	Proteasome chaperone 3	1071378	Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639)	172
G2WIL5	unreviewed	Proteasome chaperone 3	721032	Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557)	179
G2WP39	unreviewed	Proteasome chaperone 4	721032	Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557)	148
G3AJF5	unreviewed	Uncharacterized protein	619300	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	107
G3AND3	unreviewed	Proteasome assembly chaperone 3	619300	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	144
G3B2L9	unreviewed	Proteasome chaperone 3	590646	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70)	150
G8BKC1	unreviewed	Proteasome assembly chaperone 4	578454	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646)	117
G8BL81	unreviewed	Proteasome assembly chaperone 3	578454	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646)	155
G8BU22	unreviewed	Proteasome chaperone 3	1071381	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5)	181
G8BVS7	unreviewed	Proteasome chaperone 4	1071381	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5)	153
G8JP89	unreviewed	Proteasome assembly chaperone 3	931890	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582)	130
G8JVU4	unreviewed	Proteasome chaperone 3	931890	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582)	179
G8Y9B8	unreviewed	Piso0_004634 protein	559304	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	121
G8YL00	unreviewed	Piso0_001513 protein	559304	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	139
G8YND1	unreviewed	Piso0_001513 protein	559304	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	139
G8ZMU0	unreviewed	Proteasome assembly chaperone 4	4950	Torulaspora delbrueckii	132
G8ZVM9	unreviewed	Proteasome assembly chaperone 3	4950	Torulaspora delbrueckii	142
H0GJZ5	unreviewed	Irc25p	1095631	Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7)	179
H0GY24	unreviewed	Irc25p	1095631	Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7)	131
H0H1Z1	unreviewed	Poc4p	1095631	Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7)	150
H2AN60	unreviewed	Proteasome assembly chaperone 4	1071382	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276)	150
H2B0N5	unreviewed	Proteasome chaperone 3	1071382	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276)	175
H8X9W1	unreviewed	Irc25 protein	1136231	Candida orthopsilosis (strain 90-125)	151
H8XAQ1	unreviewed	Uncharacterized protein	1136231	Candida orthopsilosis (strain 90-125)	117
I2GYN1	unreviewed	Proteasome assembly chaperone 3	1071380	Tetrapisispora blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7)	155
I2H202	unreviewed	Proteasome chaperone 3	1071380	Tetrapisispora blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7)	181
J6ELU0	unreviewed	IRC25-like protein	226230	Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889)	179
J6EPJ4	unreviewed	POC4-like protein	226230	Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889)	150
J7QZS7	unreviewed	Proteasome assembly chaperone 3	1071383	Kazachstania naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / KCTC 17520 / NBRC 10181 / NCYC 3082 / Yp74L-3)	151
J7RDW7	unreviewed	Proteasome chaperone 3	1071383	Kazachstania naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / KCTC 17520 / NBRC 10181 / NCYC 3082 / Yp74L-3)	174
J8Q5A1	unreviewed	Irc25p	1160507	Saccharomyces arboricola (strain H-6 / AS 2.3317 / CBS 10644)	180
K0KMZ0	unreviewed	Uncharacterized protein	1206466	Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10)	135
K0KRH7	unreviewed	Proteasome chaperone 3	1206466	Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10)	141
N1NVV0	unreviewed	Poc4p	889517	Saccharomyces cerevisiae (strain CEN.PK113-7D)	148
Q07951	reviewed	Proteasome chaperone 3	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	179
Q12245	reviewed	Proteasome chaperone 4	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	148
Q6BIL1	unreviewed	Proteasome chaperone 3	284592	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968)	141
Q6BTU4	unreviewed	DEHA2C15840p	284592	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968)	113
Q6CJW0	unreviewed	Irc25	284590	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	159
Q6CRP5	unreviewed	KLLA0D07436p	284590	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	148
Q6FJZ1	unreviewed	Proteasome chaperone 4	284593	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138)	120
Q6FW35	unreviewed	Proteasome chaperone 3	284593	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138)	170
Q75BZ6	unreviewed	Proteasome assembly chaperone 3	284811	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)	128
Q75F97	unreviewed	Proteasome chaperone 3	284811	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)	178
R9X7J1	unreviewed	Proteasome chaperone 3	566037	Ashbya aceri	178
R9XD46	unreviewed	Proteasome assembly chaperone 3	566037	Ashbya aceri	128
W0T7X3	unreviewed	Proteasome chaperone 3	1003335	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275)	161
W0T854	unreviewed	Chaperone_DMP super family	1003335	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275)	153
W6MIL6	unreviewed	Proteasome assembly chaperone 3	1382522	Kuraishia capsulata CBS 1993	134
W6MRP4	unreviewed	Proteasome assembly chaperone 3	1382522	Kuraishia capsulata CBS 1993	135
